286,1005.6,545.89,1,1,4.1396,156.07,998.04,1013.1,1013.1,998.04,539.34,542.1,551.76,550.38
287,1036.6,545.55,1,1,4.4355,189.73,1045.9,1046.8,1027.3,1026.4,539.34,550.38,550.38,542.1
288,1027.8,445.85,1,8,6.2097,3514.3,1038,1017.6,1018.4,1037.1,536.58,535.2,355.82,355.82
289,1037.1,345.12,1,1,5.5195,147.5,1046.8,1046.8,1026.4,1028.2,340.64,348.92,348.92,342.02
290,1010,343.74,1,1,5.5195,127.3,1006,1013.1,1014.9,1006,336.5,335.12,351.68,351.68
291,1002.7,339.26,1,1,5.5195,175.04,1006,1006,999.81,998.93,326.84,350.3,354.44,325.46
292,1009.6,329.6,1,1,2.7597,25.706,1013.1,1012.2,1006.9,1006,326.84,333.74,329.6,328.22
293,993.83,331.32,1,1,6.8994,97.314,998.04,998.93,989.17,989.17,325.46,335.12,337.88,326.84
294,978.52,331.32,1,2,11.039,197.08,990.06,989.17,966.99,967.88,325.46,335.12,336.5,328.22
295,982.52,347.88,1,3,6.8994,384.97,998.93,998.93,966.1,966.1,343.4,354.44,353.06,340.64
296,961.67,339.95,1,1,6.8994,198.3,957.23,966.1,965.22,958.12,328.22,326.84,351.68,353.06
297,952.58,345.12,1,1,2.7597,66.712,950.14,953.69,956.35,950.14,339.26,337.88,350.3,353.06
298,948.36,330.29,1,1,4.1396,68.548,950.14,953.69,944.81,944.81,325.46,335.12,335.12,325.46
299,938.6,327.53,1,1,0,58.756,935.94,941.27,941.27,935.94,321.32,322.7,333.74,332.36
300,941.93,348.23,1,1,5.5195,89.97,934.17,949.25,951.02,933.28,346.16,344.78,353.06,348.92
301,919.09,326.49,1,1,1.3799,435.77,932.4,933.28,905.78,904.9,318.56,335.12,333.74,318.56
302,919.98,337.19,1,1,1.3799,29.378,916.43,923.52,923.52,916.43,335.12,335.12,339.26,339.26
303,909.55,336.84,1,1,4.1396,23.257,905.78,913.77,911.99,906.67,335.12,335.12,339.26,337.88
304,930.84,335.81,1,1,6.8994,6.7324,929.73,933.28,933.28,927.07,335.12,335.12,336.5,336.5
305,930.18,348.92,1,1,4.1396,66.1,931.51,934.17,927.07,927.96,343.4,354.44,355.82,342.02
306,918.42,348.57,1,1,6.8994,77.117,914.65,922.64,921.75,914.65,344.78,342.02,353.06,354.44
307,909.11,351.68,1,1,5.5195,39.783,906.67,911.1,911.99,906.67,346.16,348.92,355.82,355.82
308,901.13,343.4,1,1,2.6613,89.358,903.12,904.9,898.69,897.8,335.12,350.3,351.68,336.5
309,894.03,329.94,1,1,4.1396,161.58,887.15,900.46,901.35,887.15,324.08,324.08,335.12,336.5
310,891.81,348.92,1,1,6.8994,113.23,885.38,884.49,899.57,897.8,343.4,353.06,353.06,346.16
311,879.17,335.46,1,1,8.2792,226.45,874.73,882.72,883.6,875.62,321.32,321.32,348.92,350.3
312,869.41,345.12,1,1,5.5195,19.585,873.85,874.73,864.98,864.09,337.88,351.68,336.5,354.44
313,859.65,344.78,1,1,5.5195,132.2,855.22,864.98,864.09,854.33,340.64,335.12,351.68,351.68
314,869.19,330.98,1,1,4.1396,61.816,872.07,873.85,864.98,865.86,328.22,335.12,335.12,325.46
315,860.54,332.36,1,1,2.7597,104.05,854.33,865.86,865.86,856.1,326.84,328.22,335.12,339.26
316,846.79,338.57,1,1,0,183.61,839.25,853.44,853.44,841.02,330.98,332.36,344.78,346.16
317,833.71,338.91,1,1,2.6613,124.86,829.49,836.59,840.14,828.6,333.74,330.98,344.78,346.16
318,841.47,329.94,1,1,5.5195,175.04,852.56,853.44,829.49,830.38,324.08,333.74,333.74,328.22
319,841.25,348.23,1,1,5.5195,209.32,853.44,854.33,828.6,828.6,344.78,351.68,353.06,343.4
320,821.51,338.57,1,1,4.1396,309.69,815.3,825.94,828.6,816.19,326.84,324.08,348.92,354.44
321,798.44,334.43,1,1,5.5195,697.72,785.14,811.75,811.75,785.14,321.32,321.32,346.16,348.92
322,802.21,386.17,1,4,8.871,1735.1,815.3,817.07,789.57,786.91,354.44,417.91,416.53,355.82
323,813.75,444.82,1,1,7.9839,376.4,809.98,816.19,817.96,810.86,416.53,416.53,473.11,473.11
324,770.72,343.74,1,1,2.7597,312.75,778.93,780.7,762.07,761.19,335.12,353.06,351.68,335.12
325,742.78,342.36,1,1,1.3799,250.94,733.69,752.31,750.54,734.57,333.74,336.5,348.92,350.3
326,702.86,343.4,1,2,2.7597,746.08,727.48,727.48,677.8,678.69,335.12,348.92,353.06,336.5
